system_config,capability,support,method,evidence_ref,notes
7z-mx5-solid,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
7z-mx9-nosolid,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
7z-mx9-solid,atime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,most incumbents intentionally do not restore atime
7z-mx9-solid,authentication,NO,DOC,7-Zip format docs,CRC-32 per stream only when present; AES-CBC mode itself provides no integrity (REQ-CRY-0014/0102)
7z-mx9-solid,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,"raw stat %W=1789615166 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
7z-mx9-solid,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
7z-mx9-solid,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
7z-mx9-solid,encryption,YES,DOC,7-Zip help (7z i / -mhe=on),"AES-256-CBC via -p, optionally -mhe=on to also encrypt filenames; CBC only, no AEAD"
7z-mx9-solid,hardlinks,NO,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,nlink=1/1
7z-mx9-solid,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,got=1700000000 want=1700000000
7z-mx9-solid,non_utf8_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,
7z-mx9-solid,ownership,NO,PROBE,research/baselines/probes/capability-probe-results.json#7z-mx9-solid,got=uid:0/gid:0
7z-mx9-solid,partial_retrieval,PARTIAL,DOC,PROBE: 7z e <archive> <member>,"extracts the named member, but solid blocking still requires decoding other members sharing its block"
