# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,output_bytes,size,B,item_median,True,27,27,3724412,11121861.2,13206604.1,4986356,2033765,3818296.838,2458145,6675394,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-9,output_bytes,size,B,item_median,True,27,27,3708528,11119244.8,13204573.2,5038187.5,2050382,3784007.394,2447972,6675683,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-zip-9,output_bytes,size,B,item_median,True,27,27,3643784,11025949.6,13040756.2,4895554.5,2093787,3666581.307,2426811,6530220,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-6,output_bytes,size,B,item_median,True,27,27,3610029,11115476,13202559.5,5204573,1919310,3651251.896,2305047,6589681,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-9,output_bytes,size,B,item_median,True,27,27,3586029,11112875.4,13200300.3,5257995,1927805,3616981.999,2221916,6588135,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-t1,output_bytes,size,B,item_median,True,27,27,3579790,11107553.2,13201612.6,5217021,1919827,3614446.013,2213523,6563404,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-tN,output_bytes,size,B,item_median,True,27,27,3579790,11107553.2,13201612.6,5217021,1919827,3614446.013,2213523,6563404,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-3-t1,output_bytes,size,B,item_median,True,27,27,3044224,9868339.6,12509828.6,4390038,2009407,2913903.891,1719110,5551293,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-t1,output_bytes,size,B,item_median,True,27,27,2529489,9710138.4,12252053.3,4070318.5,1827914,2276052.549,1298841,5000784,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-tN,output_bytes,size,B,item_median,True,27,27,2529489,9710138.4,12252053.3,4070318.5,1827914,2276052.549,1298841,5000784,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
