# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f01-tuning-ripgrep-14-1-1-git,output_bytes,size,B,True,1,663395,663395,663395,0,0,663395,663395,663395,663395
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f01-tuning-zstd-v1-5-7-git,output_bytes,size,B,True,2,2720269,2720269,2720269,0,0,2720269,2720269,2720269,2720269
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f04-tuning-sourcelike,output_bytes,size,B,True,1,3595477,3595477,3595477,0,0,3595477,3595477,3595477,3595477
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f05-tuning-gen-logs-a-small,output_bytes,size,B,True,1,2306729,2306729,2306729,0,0,2306729,2306729,2306729,2306729
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f06-tuning-census-popest-2023,output_bytes,size,B,True,1,657538,657538,657538,0,0,657538,657538,657538,657538
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f06-tuning-gen-structured-a-small,output_bytes,size,B,True,2,3538891,3538891,3538891,0,0,3538891,3538891,3538891,3538891
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f07-tuning-gen-numeric-a-small,output_bytes,size,B,True,1,8062192,8062192,8062192,0,0,8062192,8062192,8062192,8062192
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f07-tuning-silesia-sao,output_bytes,size,B,True,1,5332908,5332908,5332908,0,0,5332908,5332908,5332908,5332908
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f07-tuning-silesia-xray,output_bytes,size,B,True,1,6037878,6037878,6037878,0,0,6037878,6037878,6037878,6037878
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f08-tuning-gen-sqlite-tpch-small,output_bytes,size,B,True,1,3609883,3609883,3609883,0,0,3609883,3609883,3609883,3609883
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f11-alpine-324-apks,output_bytes,size,B,True,1,10059746,10059746,10059746,0,0,10059746,10059746,10059746,10059746
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f12-tuning-kodak-jpeg-edge-cases-small,output_bytes,size,B,True,2,6675394,6675394,6675394,0,0,6675394,6675394,6675394,6675394
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f13-tuning-kodak-image-codecs-small,output_bytes,size,B,True,1,13417277,13417277,13417277,0,0,13417277,13417277,13417277,13417277
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f13-tuning-nasa-ntrs-pdf-small,output_bytes,size,B,True,1,14441464,14441464,14441464,0,0,14441464,14441464,14441464,14441464
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f14-apache-maven-3916-bin-tarball,output_bytes,size,B,True,1,9277516,9277516,9277516,0,0,9277516,9277516,9277516,9277516
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f14-gen-nested-archives-py,output_bytes,size,B,True,1,3793149,3793149,3793149,0,0,3793149,3793149,3793149,3793149
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f16-alpine-3241-minirootfs-ext4-qcow2,output_bytes,size,B,True,1,3724412,3724412,3724412,0,0,3724412,3724412,3724412,3724412
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f18-tuning-lz4-releases-1-9-to-1-10,output_bytes,size,B,True,2,2458145,2458145,2458145,0,0,2458145,2458145,2458145,2458145
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f01-validation-redis-7-2-16-git,output_bytes,size,B,True,1,4136681,4136681,4136681,0,0,4136681,4136681,4136681,4136681
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f02-validation-cjson-cmake-build,output_bytes,size,B,True,1,2047800,2047800,2047800,0,0,2047800,2047800,2047800,2047800
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f05-validation-rfc-texts,output_bytes,size,B,True,1,1045783,1045783,1045783,0,0,1045783,1045783,1045783,1045783
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f06-validation-osm-monaco-20250101-xml,output_bytes,size,B,True,2,1216377,1216377,1216377,0,0,1216377,1216377,1216377,1216377
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f08-validation-sakila-sqlite,output_bytes,size,B,True,1,1690647,1690647,1690647,0,0,1690647,1690647,1690647,1690647
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f12-validation-fsa-jpeg-edge-cases-small,output_bytes,size,B,True,1,4622643,4622643,4622643,0,0,4622643,4622643,4622643,4622643
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f13-validation-federal-register-pdf-small,output_bytes,size,B,True,1,12715034,12715034,12715034,0,0,12715034,12715034,12715034,12715034
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f13-validation-fsa-image-codecs-small,output_bytes,size,B,True,1,9637326,9637326,9637326,0,0,9637326,9637326,9637326,9637326
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,validation/f18-validation-cjson-releases,output_bytes,size,B,True,1,3636291,3636291,3636291,0,0,3636291,3636291,3636291,3636291
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f01-tuning-ripgrep-14-1-1-git,input_bytes,size,B,True,1,3025946,3025946,3025946,0,0,3025946,3025946,3025946,3025946
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f01-tuning-zstd-v1-5-7-git,input_bytes,size,B,True,2,8354806,8354806,8354806,0,0,8354806,8354806,8354806,8354806
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f04-tuning-sourcelike,input_bytes,size,B,True,1,7135147,7135147,7135147,0,0,7135147,7135147,7135147,7135147
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f05-tuning-gen-logs-a-small,input_bytes,size,B,True,1,12000078,12000078,12000078,0,0,12000078,12000078,12000078,12000078
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,tuning/f06-tuning-census-popest-2023,input_bytes,size,B,True,1,1428893,1428893,1428893,0,0,1428893,1428893,1428893,1428893
