# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
run_id,seq,phase,env_id,git_sha,candidate,item_id,split,family,item_key,round,repetition,exit_code,ok,valid,timing_effective,decision_grade_timing,invalid_reasons,item_sha256,output_bytes,artifact_kind,artifact_sha256,artifact_tree_sha256,artifact_logical_tree_sha256,input_bytes,ratio,roundtrip_ok
size-small-20260917T033541Z,215,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f01-tuning-ripgrep-14-1-1-git,tuning,F01,tuning/f01-tuning-ripgrep-14-1-1-git,0,0,0,True,True,False,False,,ec498a26a5a407077f64b2923f3b6f8ac20b33e62b573842eab7a2804798c360,663395,file,3160b5883732838bc94b23208285c9f5e856fbc33dfcd39999ace41ff1a8a157,9b1b6cfd6d552de0cfee562d78604ca134df3f739dd6549b92f7cb26223cafcd,7c96197e48ad30e9f5434c41be621250a9ee4d30e68fecadad5dc8918e5b1054,3025946,0.2192355713,1
20260917T031201Z-e86b28,25,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,c3f229b3551b25e6c5bd1f46d601508d97555e3c,zip-6,f01-tuning-zstd-v1-5-7-git,tuning,F01,tuning/f01-tuning-zstd-v1-5-7-git,0,0,0,True,True,False,False,,03ea394ee44340de0bfb15ddbb005da3613f1d7b9462f871e328720c826be26b,2720269,file,cccf351631eb57a58c562eb901561346571b246018f457659da42d919e6cc51d,25412a69a81f91af9c6ad32e413b7bd11e5e36330335d8fd5e101a7dc654fd82,cf02fd8fcc9f03b8a5f8965d3cd3bf97a076f7b0c7c64bee31fd8e085a9b62bb,8354806,0.3255933172,1
size-small-20260917T033541Z,25,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f01-tuning-zstd-v1-5-7-git,tuning,F01,tuning/f01-tuning-zstd-v1-5-7-git,0,0,0,True,True,False,False,,03ea394ee44340de0bfb15ddbb005da3613f1d7b9462f871e328720c826be26b,2720269,file,cccf351631eb57a58c562eb901561346571b246018f457659da42d919e6cc51d,25412a69a81f91af9c6ad32e413b7bd11e5e36330335d8fd5e101a7dc654fd82,cf02fd8fcc9f03b8a5f8965d3cd3bf97a076f7b0c7c64bee31fd8e085a9b62bb,8354806,0.3255933172,1
size-small-20260917T033541Z,357,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f04-tuning-sourcelike,tuning,F04,tuning/f04-tuning-sourcelike,0,0,0,True,True,False,False,,b56fe387e30f1a12a6ccfe004a97f6b50fdb5c7e8568e57a35f7ded21715d79e,3595477,file,a740913bf695db5426acb3896065bf417ce9258b4a1dbf80d4fdf7a06ffe8297,54a57939d38045adc6cc515bc767772b6478551df6c07b8070ecb441da8b2a80,f32c4bd259a1b66c260c01ddc11a1cd43648b658e235731e237d6e3a784c0d9b,7135147,0.5039107113,1
size-small-20260917T033541Z,168,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f05-tuning-gen-logs-a-small,tuning,F05,tuning/f05-tuning-gen-logs-a-small,0,0,0,True,True,False,False,,347133d2f5b49009f33cc0f85b5bb3d0f618c74e63d50b70c6f1d31760466663,2306729,file,e12364f1b94083d5324c2645fde4cbaf5a7a588092635cdb2c69ac689ddedd13,7c398e4d0083cebca14ea7213e2cad07be7149ef10c5cda35565db730927ce4d,7a2f4b25197b1edb1927b1818f539f780fcd8d339e55e66481714738deb87f07,12000078,0.1922261672,1
size-small-20260917T033541Z,513,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f06-tuning-census-popest-2023,tuning,F06,tuning/f06-tuning-census-popest-2023,0,0,0,True,True,False,False,,9dcf55ff9477a1e623e39c9dec36ff2dad16850fc6c44b07359ec58005b0b4ec,657538,file,aae04dab7711f2177e6e05b74f4f78a8639195962a3de5cfce721c414fb9f30d,753af58859a97b113ca9d85a4245f1d0bf15ae481fecb3ec945dfe7ca1f0a74f,fbb7ea8b7328dee58316b37da77f4babf6e0b5168f671e458eee2307805b7d0b,1428893,0.4601730151,1
20260917T031201Z-e86b28,79,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,c3f229b3551b25e6c5bd1f46d601508d97555e3c,zip-6,f06-tuning-gen-structured-a-small,tuning,F06,tuning/f06-tuning-gen-structured-a-small,0,0,0,True,True,False,False,,973fa18b958a1f7aeffb77eff05bc2e5927beadd8efa0fd4d404a2ed9f6f6698,3538891,file,fe0aea4432b52644b00a2f5d0fa0c002cb9a7ac88cbe719863fbccbd206306aa,cc6a2884bad0c15ffe9745b61f711a898925e6abcefa8d3793652b8f7d0f5fe5,240d53b4e9f4bb85961a57a056482be753dca07dacc48b3e599f0f999f87d925,14211346,0.2490187066,1
size-small-20260917T033541Z,79,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f06-tuning-gen-structured-a-small,tuning,F06,tuning/f06-tuning-gen-structured-a-small,0,0,0,True,True,False,False,,973fa18b958a1f7aeffb77eff05bc2e5927beadd8efa0fd4d404a2ed9f6f6698,3538891,file,fe0aea4432b52644b00a2f5d0fa0c002cb9a7ac88cbe719863fbccbd206306aa,cc6a2884bad0c15ffe9745b61f711a898925e6abcefa8d3793652b8f7d0f5fe5,240d53b4e9f4bb85961a57a056482be753dca07dacc48b3e599f0f999f87d925,14211346,0.2490187066,1
size-small-20260917T033541Z,428,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f07-tuning-gen-numeric-a-small,tuning,F07,tuning/f07-tuning-gen-numeric-a-small,0,0,0,True,True,False,False,,38689515f3614e9625fd5f45f07baa90838f75556499614b820fbcfba392a290,8062192,file,63e3d3313891e98677f433f83ed54c8fccceba818b878fc6b52c5788f0260c89,941ba49ab0376fdff17ddb539c563c825dec78171c98b43c05c7581c0039025c,9637340155d1ef9b24650b6a7a39a640aa6940d4db5468e0a40d3e7355176766,12292022,0.655888185,1
size-small-20260917T033541Z,312,measure,8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,e2b6ded547c728588b7ed23bdfb5ac3de0f22546,zip-6,f07-tuning-silesia-sao,tuning,F07,tuning/f07-tuning-silesia-sao,0,0,0,True,True,False,False,,dc2c0e0d0347d178ee71a4b5559b986c6e40d9ee295c96174948b88e552d8338,5332908,file,c7d5f05e68e96351c949836c1145d9f620ccd1a90da1f8e83925934987e4210f,b5d93a5d7afda2528c7bf8354d16574dafe2633166092b25d22aeb2ebedba3bd,704f8c6ea14198fd3193425dd4efba9787c19bc7a101f6ea6136d6ad1006473f,7251944,0.735376335,1
