# generated-by: python -m ebr normalize --spec research/experiments/EXP-SMOKE-000/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 9e44608e5a3ed44fb8f2c4cc5423a6f69b0d0155
# experiment: EXP-SMOKE-000
# input: research/raw/EXP-SMOKE-000/20260913T014617Z-6a6931.jsonl sha256=83030d6b94196f6540b3c200d7d589230971dad7fa23366382d2a2a3dfc89bab
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,baseline,metric,family,unit,pairing,decision_grade,n_pairs,median_ratio,geomean_ratio,ci_lower,ci_upper,ci_confidence,band_kind,band_lower,band_upper,verdict
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,wall_s,time_wall,s,item_repetition,False,3,0.2500285683,0.2559184835,0.2078701459,0.3224951635,0.95,,,,not_decision_grade(informational:threshold_unset:families.time_wall.practical_significance_band)
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,wall_s,time_wall,s,item_repetition,False,3,1.277104303,1.18703352,0.9893390647,1.323784899,0.95,,,,not_decision_grade(informational:threshold_unset:families.time_wall.practical_significance_band)
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,cpu_s,time_cpu,s,item_repetition,False,3,0.136539765,0.146752869,0.1136693877,0.2036372061,0.95,,,,not_decision_grade(informational:threshold_unset:families.time_cpu.practical_significance_band)
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,cpu_s,time_cpu,s,item_repetition,False,3,1.209480418,1.238470619,1.194922563,1.314372674,0.95,,,,not_decision_grade(informational:threshold_unset:families.time_cpu.practical_significance_band)
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,max_rss_bytes,memory_peak,B,item_repetition,True,3,0.9941037736,0.984368037,0.9594907407,1,0.95,,,,threshold_unset:families.memory_peak.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,max_rss_bytes,memory_peak,B,item_repetition,True,3,1.009259259,0.9992076472,0.9679266896,1.021226415,0.95,,,,threshold_unset:families.memory_peak.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,fs_outputs,io,blocks,item_repetition,True,3,1.242424242,1.242424242,1.242424242,1.242424242,0.95,,,,threshold_unset:families.io.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,fs_outputs,io,blocks,item_repetition,True,3,1,1,1,1,0.95,,,,threshold_unset:families.io.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,scratch_peak_bytes,scratch_peak,B,item_repetition,True,3,1.237852863,1.237852863,1.237852863,1.237852863,0.95,,,,threshold_unset:families.scratch_peak.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,scratch_peak_bytes,scratch_peak,B,item_repetition,True,3,0.9949250306,0.9949250306,0.9949250306,0.9949250306,0.95,,,,threshold_unset:families.scratch_peak.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,output_bytes,size,B,item_repetition,True,3,1.237852863,1.237852863,1.237852863,1.237852863,0.95,ratio,0.999,1.001,distinguishable_above
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,output_bytes,size,B,item_repetition,True,3,0.9949250306,0.9949250306,0.9949250306,0.9949250306,0.95,ratio,0.999,1.001,distinguishable_below
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,input_bytes,size,B,item_repetition,True,3,1,1,1,1,0.95,ratio,0.999,1.001,indistinguishable
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,input_bytes,size,B,item_repetition,True,3,1,1,1,1,0.95,ratio,0.999,1.001,indistinguishable
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,ratio,size,,item_repetition,True,3,1.237852863,1.237852863,1.237852863,1.237852863,0.95,ratio,0.999,1.001,distinguishable_above
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,ratio,size,,item_repetition,True,3,0.9949250306,0.9949250306,0.9949250306,0.9949250306,0.95,ratio,0.999,1.001,distinguishable_below
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,gzip-6,roundtrip_ok,correctness,,item_repetition,True,3,1,1,1,1,0.95,,,,threshold_unset:families.correctness.practical_significance_band
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-9,gzip-6,roundtrip_ok,correctness,,item_repetition,True,3,1,1,1,1,0.95,,,,threshold_unset:families.correctness.practical_significance_band
