# generated-by: python -m ebr normalize --spec research/experiments/EXP-SMOKE-000/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 9e44608e5a3ed44fb8f2c4cc5423a6f69b0d0155
# experiment: EXP-SMOKE-000
# input: research/raw/EXP-SMOKE-000/20260913T014617Z-6a6931.jsonl sha256=83030d6b94196f6540b3c200d7d589230971dad7fa23366382d2a2a3dfc89bab
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,wall_s,time_wall,s,False,3,0.024317343,0.0243490998,0.0243530694,0.004044936,3.9696e-05,0.016267167,0.024357039,0.021647183,0.02127898193
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,cpu_s,time_cpu,s,False,3,0.010677,0.014793,0.0153075,0.0031,0.001055,0.009622,0.015822,0.01204033333,0.01175777987
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,max_rss_bytes,memory_peak,B,True,3,3452928,3551232,3563520,90112,57344,3395584,3575808,3474773.333,3473964.672
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,fs_outputs,io,blocks,True,3,656,656,656,0,0,656,656,656,656
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,scratch_peak_bytes,scratch_peak,B,True,3,332210,332210,332210,0,0,332210,332210,332210,332210
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,output_bytes,size,B,True,3,332210,332210,332210,0,0,332210,332210,332210,332210
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,input_bytes,size,B,True,3,1048576,1048576,1048576,0,0,1048576,1048576,1048576,1048576
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,ratio,size,,True,3,0.3168201447,0.3168201447,0.3168201447,0,0,0.3168201447,0.3168201447,0.3168201447,0.3168201447
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-1,generated/text-1mib-s0,roundtrip_ok,correctness,,True,3,1,1,1,0,0,1,1,1,1
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-6,generated/text-1mib-s0,wall_s,time_wall,s,False,3,0.078256389,0.0934578842,0.0953580711,0.0108657115,0.002729554,0.075526835,0.097258258,0.083680494,0.08314749931
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-6,generated/text-1mib-s0,cpu_s,time_cpu,s,False,3,0.078197,0.0833586,0.0840038,0.003476,0.0005,0.077697,0.084649,0.080181,0.0801195912
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-6,generated/text-1mib-s0,max_rss_bytes,memory_peak,B,True,3,3538944,3568435.2,3572121.6,51200,36864,3473408,3575808,3529386.667,3529131.931
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gzip-6,generated/text-1mib-s0,fs_outputs,io,blocks,True,3,528,528,528,0,0,528,528,528,528
